"","year","song","artist","peak_pos","weeks_on_chart","instance"
"3927",2016,"Little Bit Of You","Chase Bryant",99,11,1
"3928",2014,"Little Drummer Boy","Pentatonix",13,3,1
"3929",2011,"Little Lion Man","Mumford & Sons",98,22,2
"3930",2011,"Little Miss","Sugarland",96,14,2
"3931",2008,"Little Miss Obsessive","Ashlee Simpson With Tom Higgenson",96,1,1
"3932",2004,"Little Moments","Brad Paisley",76,20,1
"3933",2016,"Little More (Royalty)","Chris Brown",91,1,1
"3934",2016,"Little Red Corvette","Prince",29,24,2
"3935",2015,"Little Red Wagon","Miranda Lambert",76,11,1
"3936",2005,"Little Sister","Queens Of The Stone Age",97,9,3
"3937",2013,"Little Talks","Of Monsters And Men",92,48,2
"3938",2002,"Little Things","India.Arie",92,13,1
"3939",2013,"Little Things","One Direction",41,18,1
"3940",2015,"Little Toy Guns","Carrie Underwood",99,18,2
"3941",2010,"Little White Church","Little Big Town",94,20,1
"3942",2007,"Little Wonders","Rob Thomas",78,16,1
"3943",2016,"Litty","Meek Mill Featuring Tory Lanez",49,4,1
"3944",2010,"Liv Tonight","Nelly Featuring Keri Hilson",75,1,1
"3945",2011,"Live A Little","Kenny Chesney",91,12,1
"3946",2013,"Live For The Night","Krewella",100,1,1
"3947",2015,"Live From The Gutter","Drake & Future",85,5,1
"3948",2013,"Live It Up","Jennifer Lopez Featuring Pitbull",73,6,1
"3949",2010,"Live Like We're Dying","Kris Allen",92,29,2
"3950",2005,"Live Like You Were Dying","Tim McGraw",73,23,2
"3951",2012,"Live My Life","Far*East Movement Featuring Justin Bieber",21,1,1
"3952",2013,"Live While We're Young","One Direction",3,16,1
"3953",2009,"Live Your Life","T.I. Featuring Rihanna",80,28,1
"3954",2000,"Live, Laugh, Love","Clay Walker",84,11,1
"3955",2002,"Livin' It Up","Ja Rule Featuring Case",78,25,1
"3956",2013,"Livin' On A Prayer","Bon Jovi",25,22,2
"3957",2008,"Livin' Our Love Song","Jason Michael Carroll",98,17,2
"3958",2002,"Living And Living Well","George Strait",75,20,1
"3959",2009,"Living For The Night","George Strait",92,17,1
"3960",2006,"Living In Fast Forward","Kenny Chesney",95,17,1
"3961",2006,"Llame Pa' Verte","Wisin & Yandel",100,1,1
"3962",2008,"Lloro Por Ti","Enrique Iglesias",91,1,1
"3963",2011,"Lo Mejor De Mi Vida Eres Tu","Ricky Martin Featuring Natalia Jimenez",100,2,2
"3964",2006,"Lo Que Me Gusta A Mi","Juanes",94,1,1
"3965",2006,"Lo Que Son Las Cosas","Anais",79,3,1
"3966",2001,"Loaded","Ricky Martin",97,2,1
"3967",2011,"Loca","Shakira Featuring Dizzee Rascal",98,11,1
"3968",2017,"Location","Khalid",77,43,1
"3969",2016,"Locked Away","R. City Featuring Adam Levine",85,27,1
"3970",2013,"Locked Out Of Heaven","Bruno Mars",34,36,1
"3971",2004,"Locked Up","Akon Featuring Styles P.",97,27,1
"3972",2016,"Lockjaw","French Montana Featuring Kodak Black",100,13,3
"3973",2004,"Loco","David Lee Murphy",74,18,1
"3974",2013,"Loco","Enrique Iglesias Featuring Romeo Santos",87,4,2
"3975",2009,"LOL :-)","Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em",51,8,1
"3976",2008,"Lolli Lolli (Pop That Body)","Three 6 Mafia Featuring Project Pat, Young D & Superpower",79,20,1
"3977",2009,"Lollipop","Framing Hanley",100,10,3
"3978",2008,"Lollipop","Lil Wayne Featuring Static Major",85,28,1
"3979",2014,"Lolly","Maejor Ali Featuring Juicy J & Justin Bieber",97,4,2
"3980",2006,"London Bridge","Fergie",84,21,1
"3981",2005,"Lonely","Akon",90,20,1
"3982",2012,"Lonely Boy","The Black Keys",94,20,2
"3983",2015,"Lonely Eyes","Chris Young",95,18,1
"3984",2005,"Lonely No More","Rob Thomas",78,34,1
"3985",2015,"Lonely Tonight","Blake Shelton Featuring Ashley Monroe",95,17,1
"3986",2016,"Lonesome Broken And Blue","Adam Wakefield",73,1,1
"3987",2004,"Long Black Train","Josh Turner",96,18,2
"3988",2011,"Long Hot Summer","Keith Urban",89,18,1
"3989",2010,"Long Live","Taylor Swift",85,1,1
"3990",2013,"Long Live A$AP","A$AP Rocky",86,1,1
"3991",2008,"Long Road To Ruin","Foo Fighters",100,12,1
"3992",2002,"Long Time Gone","Dixie Chicks",67,20,1
"3993",2007,"Long Trip Alone","Dierks Bentley",99,12,1
"3994",2006,"Long Way 2 Go","Cassie",97,2,1
"3995",2007,"Look After You","The Fray",91,10,1
"3996",2018,"Look Alive","BlocBoy JB Featuring Drake",6,25,1
"3997",2016,"Look Alive","Rae Sremmurd",76,6,2
"3998",2011,"Look At Me Now","Chris Brown Featuring Lil Wayne & Busta Rhymes",11,27,1
"3999",2017,"Look At Me!","XXXTentacion",95,20,1
"4000",2016,"Look At My Dab","Migos",87,1,1
"4001",2001,"Look At Us","Sarina Paris",99,20,1
"4002",2014,"Look At You","Big & Rich",100,14,1
"4003",2019,"Look Back At It","A Boogie Wit da Hoodie",95,27,1
"4004",2011,"Look It Up","Ashton Shepherd",95,1,1
"4005",2019,"Look What God Gave Her","Thomas Rhett",52,15,1
"4006",2018,"Look What You Made Me Do","Taylor Swift",77,19,1
"4007",2005,"Look What You've Done","Jet",70,20,1
"4008",2008,"Lookin Boy","Hot Stylz Featuring Yung Joc",86,11,1
"4009",2009,"Lookin' For A Good Time","Lady Antebellum",91,15,1
"4010",2014,"Lookin' For That Girl","Tim McGraw",96,4,1
"4011",2006,"Looking For You","Kirk Franklin",92,20,1
"4012",2015,"Lord Knows","Meek Mill",88,2,1
"4013",2005,"Lose Control","Missy Elliott Featuring Ciara & Fat Man Scoop",86,28,1
"4014",2018,"Lose It","Kane Brown",98,20,2
"4015",2018,"Lose It","Quavo Featuring Lil Baby",100,1,1
"4016",2005,"Lose My Breath","Destiny's Child",30,23,1
"4017",2015,"Lose My Mind","Brett Eldredge",97,20,1
"4018",2010,"Lose My Mind","Young Jeezy Featuring Plies",35,15,1
"4019",2017,"Lose You","Drake",64,1,1
"4020",2003,"Lose Yourself","Eminem",43,23,1
"4021",2001,"Loser","3 Doors Down",76,20,1
"4022",2010,"Loser","Glee Cast",93,1,1
"4023",2011,"Loser Like Me","Glee Cast",6,3,1
"4024",2015,"Losers","The Weeknd Featuring Labrinth",85,1,1
"4025",2017,"Losin Control","Russ",89,19,1
"4026",2003,"Losing Grip","Avril Lavigne",71,6,1
"4027",2011,"Losing My Religion","Dia Frampton",54,2,1
"4028",2010,"Losing My Religion","Glee Cast",60,1,1
"4029",2018,"Losing Sleep","Chris Young",94,19,1
"4030",2007,"Lost","Faith Hill",61,2,1
"4031",2009,"Lost","Gorilla Zoe",93,11,1
"4032",2008,"Lost","Michael Buble",97,1,1
"4033",2016,"Lost Boy","Ruth B",75,22,1
"4034",2019,"Lost In Japan","Shawn Mendes X Zedd",99,16,2
"4035",2011,"Lost In Paradise","Evanescence",99,1,1
"4036",2012,"Lost In The Echo","Linkin Park",95,1,1
"4037",2019,"Lost In The Fire","Gesaffelstein & The Weeknd",27,6,1
"4038",2007,"Lost In This Moment","Big & Rich",72,20,1
"4039",2007,"Lost One","Jay-Z Featuring Chrisette Michele",66,8,1
"4040",2015,"Lost Stars","Matt McAndrew & Adam Levine",83,1,1
"4041",2015,"Lost Without U","Chris Jamison & Adam Levine",63,1,1
"4042",2007,"Lost Without U","Robin Thicke",92,23,2
"4043",2009,"Lost You Anyway","Toby Keith",97,10,1
"4044",2009,"Lost!","Coldplay With Jay-Z",95,5,4
"4045",2005,"Lot Of Leavin' Left To Do","Dierks Bentley",96,19,1
"4046",2012,"Lotus Flower Bomb","Wale Featuring Miguel",87,20,1
"4047",2012,"Loud","Mac Miller",53,2,1
"4048",2006,"Love","Keyshia Cole",82,19,1
"4049",2017,"Love","Lana Del Rey",44,2,1
"4050",2001,"Love","Musiq Soulchild",77,21,1
"4051",2019,"Love Ain't","Eli Young Band",81,9,1
"4052",2010,"Love All Over Me","Monica",94,17,1
"4053",2013,"Love And War","Tamar Braxton",98,20,2
"4054",2003,"Love At 1st Sight","Mary J. Blige Featuring Method Man",63,13,1
"4055",2002,"Love At First Sight","Kylie Minogue",95,16,1
"4056",2001,"Love Don't Cost A Thing","Jennifer Lopez",46,21,1
"4057",2014,"Love Don't Die","The Fray",81,9,1
"4058",2008,"Love Don't Live Here","Lady Antebellum",95,18,1
"4059",2011,"Love Don't Run","Steve Holy",90,7,1
"4060",2011,"Love Done Gone","Billy Currington",98,15,1
"4061",2016,"Love Drought","Beyonce",47,2,1
"4062",2009,"Love Drunk","Boys Like Girls",46,20,1
"4063",2011,"Love Faces","Trey Songz",100,16,2
"4064",2017,"Love Galore","SZA Featuring Travis Scott",70,20,1
"4065",2008,"Love In This Club","Usher Featuring Young Jeezy",83,25,1
"4066",2008,"Love In This Club Part II","Usher Featuring Beyonce & Lil Wayne",79,14,1
"4067",2008,"Love Is A Beautiful Thing","Phil Vassar",97,17,1
"4068",2014,"Love Is An Open Door","Kristen Bell & Santino Fontana",49,4,1
"4069",2000,"Love Is Blind","Eve Featuring Faith Evans",94,16,1
"4070",2008,"Love Is Free","Sheryl Crow",97,6,2
"4071",2008,"Love Is Gone","David Guetta & Chris Willis",98,1,1
"4072",2009,"Love Is On Its Way","Jonas Brothers",84,1,1
"4073",2015,"Love Is Your Name","Steven Tyler",75,1,1
"4074",2010,"Love King","The-Dream",98,3,2
"4075",2019,"Love Lies","Khalid & Normani",43,51,1
"4076",2010,"Love Like Crazy","Lee Brice",97,20,1
"4077",2008,"Love Like This","Natasha Bedingfield Featuring Sean Kingston",94,20,1
"4078",2007,"Love Like Winter","AFI",88,5,1
"4079",2011,"Love Like Woe","The Ready Set",97,21,1
"4080",2009,"Love Lockdown","Kanye West",3,23,1
"4081",2016,"Love Make The World Go Round","Jennifer Lopez & Lin-Manuel Miranda",72,1,1
"4082",2010,"Love Me","Justin Bieber",86,4,2
"4083",2013,"Love Me","Lil Wayne Featuring Drake & Future",53,22,1
"4084",2015,"Love Me","The 1975",100,1,1
"4085",2014,"Love Me Again","John Newman",85,18,1
"4086",2019,"Love Me Anyway","P!nk Featuring Chris Stapleton",96,1,1
"4087",2015,"Love Me Harder","Ariana Grande & The Weeknd",79,22,1
"4088",2007,"Love Me If You Can","Toby Keith",83,17,1
"4089",2015,"Love Me Like You Do","Ellie Goulding",45,34,1
"4090",2015,"Love Me Like You Mean It","Kelsea Ballerini",97,18,1
"4091",2017,"Love Me Now","John Legend",98,19,2
"4092",2007,"Love Me Or Hate Me (F**k You!!!!)","Lady Sovereign",81,9,2
"4093",2004,"Love Me Right (Oh Sheila)","Angel City Featuring Lara McAllen",97,4,1
"4094",2014,"Love More","Chris Brown Featuring Nicki Minaj",56,26,1
"4095",2015,"Love Myself","Hailee Steinfeld",96,16,1
"4096",2014,"Love Never Felt So Good","Michael Jackson & Justin Timberlake",20,20,1
"4097",2002,"Love Of A Woman","Travis Tritt",76,20,1
"4098",2002,"Love Of My Life","Brian McKnight",74,20,1
"4099",2003,"Love Of My Life (An Ode To Hip Hop)","Erykah Badu Featuring Common",94,27,1
"4100",2017,"Love On The Brain","Rihanna",83,31,2
"4101",2017,"Love On The Weekend","John Mayer",91,2,2
"4102",2012,"Love On Top","Beyonce",98,20,2
"4103",2009,"Love Remains The Same","Gavin Rossdale",76,31,1
"4104",2008,"Love Remembers","Craig Morgan",87,9,1
"4105",2014,"Love Runs Out","OneRepublic",81,20,2
"4106",2018,"Love Scars 3","Trippie Redd",73,1,1
"4107",2000,"Love Sets You Free","Kelly Price & Friends",92,4,1
"4108",2009,"Love Sex Magic","Ciara Featuring Justin Timberlake",86,12,1
"4109",2017,"Love So Soft","Kelly Clarkson",62,13,1
"4110",2013,"Love Somebody","Maroon 5",54,21,1
"4111",2019,"Love Someone","Brett Eldredge",93,8,1
"4112",2019,"Love Someone","Lukas Graham",82,10,1
"4113",2004,"Love Song","311",72,20,1
"4114",2008,"Love Song","Sara Bareilles",100,41,1
"4115",2013,"Love Sosa","Chief Keef",82,14,1
"4116",2009,"Love Story","Taylor Swift",16,49,1
"4117",2011,"Love The Way You Lie","Eminem Featuring Rihanna",2,29,1
"4118",2012,"Love This Life","T.I.",81,1,1
"4119",2010,"Love This Pain","Lady Antebellum",93,1,1
"4120",2016,"Love To Lay","The Weeknd",71,1,1
"4121",2007,"Love Today","MIKA",92,1,1
"4122",2009,"Love Who You Love","Rascal Flatts",59,1,1
"4123",2019,"Love Wins","Carrie Underwood",100,10,3
"4124",2006,"Love You","Jack Ingram",98,6,1
"4125",2012,"Love You Like A Love Song","Selena Gomez & The Scene",72,38,1
"4126",2015,"Love You Like That","Canaan Smith",96,20,1
"4127",2004,"Love You More","Ginuwine",93,16,1
"4128",2003,"Love You Out Loud","Rascal Flatts",72,20,1
"4129",2009,"Love Your Love The Most","Eric Church",90,16,1
"4130",2016,"Love Yourself","Justin Bieber",4,41,1
"4131",2018,"Love.","Kendrick Lamar Featuring Zacari",41,39,2
"4132",2004,"Love's Divine","Seal",93,20,1
"4133",2012,"Love's Gonna Make It Alright","George Strait",99,11,1
"4134",2000,"Love's The Only House","Martina McBride",79,20,1
"4135",2009,"Lovebug","Jonas Brothers",84,14,2
"4136",2013,"Loveeeeeee Song","Rihanna Featuring Future",100,20,1
"4137",2009,"LoveGame","Lady Gaga",99,22,2
"4138",2013,"LoveHate Thing","Wale Featuring Sam Dew",89,8,1
"4139",2019,"Lovely","Billie Eilish & Khalid",91,22,4
"4140",2012,"Lover Of The Light","Mumford & Sons",97,1,1
"4141",2010,"Lover, Lover","Jerrod Niemann",89,20,1
"4142",2012,"Lover's Eyes","Mumford & Sons",85,2,1
"4143",2001,"Loverboy","Mariah Carey Featuring Cameo",79,14,1
"4144",2005,"Lovers And Friends","Lil Jon & The East Side Boyz Featuring Usher & Ludacris",36,22,1
"4145",2007,"LoveStoned","Justin Timberlake",85,20,1
"4146",2003,"Lovin' All Night","Patty Loveless",97,10,1
"4147",2012,"Lovin' You Is Fun","Easton Corbin",100,20,2
"4148",2015,"Loving You Easy","Zac Brown Band",90,17,1
"4149",2011,"Loving You No More","Diddy - Dirty Money Featuring Drake",91,2,2
"4150",2008,"Low","Flo Rida Featuring T-Pain",91,40,1
"4151",2003,"Low","Kelly Clarkson",74,11,1
"4152",2016,"Low Life","Future Featuring The Weeknd",52,35,1
"4153",2014,"Loyal","Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga",82,36,1
"4154",2017,"Loyalty.","Kendrick Lamar Featuring Rihanna",14,26,1
"4155",2019,"Lucid Dreams","Juice WRLD",74,46,1
"4156",2000,"Lucky","Britney Spears",61,11,1
"4157",2010,"Lucky","Glee Cast",27,1,1
"4158",2009,"Lucky","Jason Mraz & Colbie Caillat",84,20,2
"4159",2001,"Lucky 4 You (Tonight I'm Just Me)","SHeDAISY",80,3,1
"4160",2007,"Lucky Man","Montgomery Gentry",88,17,1
"4161",2019,"Lucky You","Eminem Featuring Joyner Lucas",94,14,2
"4162",2011,"Lullaby","Nickelback",89,1,1
"4163",2016,"Lush Life","Zara Larsson",97,3,2
"4164",2018,"Lust","Lil Skies",91,4,1
"4165",2017,"Lust For Life","Lana Del Rey Featuring The Weeknd",64,1,1
"4166",2017,"Lust.","Kendrick Lamar",42,2,1
"4167",2016,"Luv","Tory Lanez",96,22,1
"4168",2003,"Luv U Better","LL Cool J",93,22,1
"4169",2006,"Luxurious","Gwen Stefani",80,20,1
"4170",2004,"Lying From You","Linkin Park",98,18,2
"4171",2014,"m.A.A.d City","Kendrick Lamar Featuring MC Eiht",98,3,3
"4172",2016,"M.I.L.F. $","Fergie",34,3,1
"4173",2003,"Ma, I Don't Love Her","Clipse Featuring Faith Evans",96,6,1
"4174",2009,"Mad","Ne-Yo",97,24,1
"4175",2001,"Mad Season","matchbox twenty",68,20,1
"4176",2017,"Mad Stalkers","21 Savage, Offset & Metro Boomin",99,1,1
"4177",2009,"Mad World","Adam Lambert",19,3,1
"4178",2018,"Made For Now","Janet & Daddy Yankee",88,1,1
"4179",2011,"Made In America","Toby Keith",95,20,1
"4180",2013,"Made In The USA","Demi Lovato",89,2,2
"4181",2014,"Made Me","Snootie Wild Featuring K Camp",97,3,2
"4182",2003,"Made You Look","Nas",58,13,1
"4183",2017,"Madiba Riddim","Drake",51,2,1
"4184",2013,"Madness","Muse",84,29,2
"4185",2010,"Magic","B.o.B Featuring Rivers Cuomo",100,20,2
"4186",2014,"Magic","Coldplay",24,14,1
"4187",2012,"Magic","Future Featuring T.I.",94,9,1
"4188",2008,"Magic","Robin Thicke",91,17,2
"4189",2009,"Magic","Selena Gomez",61,4,1
"4190",2003,"Magic Stick","Lil' Kim Featuring 50 Cent",75,24,1
"4191",2009,"Magnificent","Rick Ross Featuring John Legend",88,11,1
"4192",2009,"Magnificent","U2",79,1,1
"4193",2017,"Magnolia","Playboi Carti",91,20,1
"4194",2014,"Main Chick","Kid Ink Featuring Chris Brown",92,20,1
"4195",2018,"Majesty","Nicki Minaj Featuring Eminem & Labrinth",58,1,1
"4196",2011,"Major Minus","Coldplay",92,1,1
"4197",2010,"Major Tom","Shiny Toy Guns",97,1,1
"4198",2011,"Make A Movie","Twista Featuring Chris Brown",94,14,1
"4199",2010,"Make A Wave","Disney's Friends For Change",84,1,1
"4200",2005,"Make Her Feel Good","Teairra Mari",98,18,1
"4201",2009,"Make Her Say","Kid Cudi Featuring Kanye West & Common",51,15,1
"4202",2018,"Make It Back","Juice WRLD",92,1,1
"4203",2003,"Make It Clap","Busta Rhymes Featuring Spliff Star",93,20,1
"4204",2012,"Make It Nasty","Tyga",91,2,1
"4205",2014,"Make It Rain","Ed Sheeran",34,2,1
"4206",2007,"Make It Rain","Fat Joe Featuring Lil Wayne",55,24,1
"4207",2015,"Make It Rain","Koryn Hawthorne",84,1,1
"4208",2014,"Make It Rain","Matt McAndrew",81,1,1
"4209",2011,"Make It Rain","Travis Porter",100,6,1
"4210",2019,"Make It Right","BTS",95,1,1
"4211",2019,"Make It Sweet","Old Dominion",98,20,1
"4212",2017,"Make Love","Gucci Mane & Nicki Minaj",78,1,1
"4213",2017,"Make Me (Cry)","Noah Cyrus Featuring Labrinth",98,15,2
"4214",2003,"Make Me A Song","Kiley Dean",99,2,1
"4215",2007,"Make Me Better","Fabolous Featuring Ne-Yo",96,21,1
"4216",2018,"Make Me Feel","Janelle Monae",99,1,1
"4217",2016,"Make Me Like You","Gwen Stefani",97,5,2
"4218",2012,"Make Me Proud","Drake Featuring Nicki Minaj",97,20,1
"4219",2015,"Make Me Wanna","Thomas Rhett",99,20,1
"4220",2016,"Make Me...","Britney Spears Featuring G-Eazy",17,9,1
"4221",2007,"Make Some Noise","Hannah Montana",92,1,1
"4222",2019,"Make Up","Ariana Grande",48,2,1
"4223",2013,"Make You Feel My Love","Glee Cast",84,1,1
"4224",2016,"Make You Miss Me","Sam Hunt",93,19,1
"4225",2006,"MakeDamnSure","Taking Back Sunday",78,18,1
"4226",2007,"Makes Me Wonder","Maroon 5",84,26,1
"4227",2002,"Makin' Good Love","Avant",74,20,1
"4228",2005,"Making Memories Of Us","Keith Urban",90,20,1
"4229",2017,"Malibu","Miley Cyrus",64,15,1
"4230",2018,"MAMA","6ix9ine Featuring Nicki Minaj & Kanye West",58,4,1
"4231",2016,"Mama Said","Lukas Graham",81,11,1
"4232",2013,"Mama's Broken Heart","Miranda Lambert",89,20,1
"4233",2011,"Mama's Song","Carrie Underwood",87,19,2
"4234",2001,"Mamacita","Public Announcement",59,8,1
"4235",2000,"Mambo No. 5 (A Little Bit Of...)","Lou Bega",3,22,1
"4236",2008,"Mamma Mia","Meryl Streep",99,1,1
"4237",2011,"Man Down","Rihanna",94,14,1
"4238",2011,"Man In The Mirror","Adam Levine & Javier Colon",45,1,1
"4239",2011,"Man In The Mirror","Glee Cast",76,1,1
"4240",2018,"Man Of The Woods","Justin Timberlake",73,1,1
"4241",2014,"Man Of The Year","ScHoolboy Q",81,13,2
"4242",2003,"Man To Man","Gary Allan",78,20,1
"4243",2007,"Maneater","Nelly Furtado",62,20,1
"4244",2008,"Many Rivers To Cross","Annie Lennox",80,1,1
"4245",2014,"Maps","Maroon 5",14,22,1
"4246",2004,"Maps","Yeah Yeah Yeahs",98,13,1
"4247",2018,"March 14","Drake",57,1,1
"4248",2008,"Marco Polo","Bow Wow Featuring Soulja Boy Tell'em",66,3,1
"4249",2017,"Marcy Me","JAY-Z",90,1,1
"4250",2000,"Maria Maria","Santana Featuring The Product G&B",15,26,1
"4251",2010,"Marijuana","Kid Cudi",54,1,1
"4252",2015,"Mark My Words","Justin Bieber",42,4,1
"4253",2009,"Marry For Money","Trace Adkins",99,3,2
"4254",2014,"Marry Me","Jason Derulo",72,17,1
"4255",2018,"Marry Me","Thomas Rhett",97,19,1
"4256",2011,"Marry Me","Train",95,20,1
"4257",2012,"Marry The Night","Lady Gaga",97,12,2
"4258",2011,"Marry You","Bruno Mars",91,9,2
"4259",2010,"Marry You","Glee Cast",32,2,1
"4260",2011,"Martians Vs Goblins","Game Featuring Lil Wayne & Tyler, The Creator",100,1,1
"4261",2011,"Marvin & Chardonnay","Big Sean Featuring Kanye West & Roscoe Dash",88,20,1
"4262",2015,"Marvin Gaye","Charlie Puth Featuring Meghan Trainor",87,20,1
"4263",2011,"Marvins Room","Drake",99,18,2
"4264",2016,"Mary Did You Know","Jordan Smith",24,1,1
"4265",2017,"Mary, Did You Know?","Pentatonix",45,7,2
"4266",2017,"Mask Off","Future",49,31,1
"4267",2015,"Masterpiece","Jessie J",85,3,2
"4268",2017,"May We All","Florida Georgia Line Featuring Tim McGraw",56,20,1
"4269",2009,"Maybach Music 2","Rick Ross Featuring Kanye West, T-Pain & Lil' Wayne",92,1,1
"4270",2011,"Maybe","Sick Puppies",100,15,1
"4271",2001,"Maybe I Deserve","Tank",71,20,1
"4272",2013,"Maybe It Was Memphis","Danielle Bradbery",93,2,2
"4273",2018,"Maybe It's Time","Bradley Cooper",93,1,1
"4274",2009,"Maybe This Time","Glee Cast Featuring Kristin Chenoweth",88,1,1
"4275",2004,"Mayberry","Rascal Flatts",74,20,1
"4276",2018,"Mayores","Becky G Featuring Bad Bunny",100,17,3
"4277",2019,"Maze","Juice WRLD",65,1,1
"4278",2006,"Me & U","Cassie",94,27,1
"4279",2004,"Me Against The Music","Britney Spears Featuring Madonna",50,13,1
"4280",2010,"Me Against The Music","Glee Cast",56,1,1
"4281",2007,"Me And God","Josh Turner",98,2,1
"4282",2014,"Me And My Broken Heart","Rixton",87,20,1
"4283",2006,"Me And My Gang","Rascal Flatts",93,16,1
"4284",2016,"Me And Your Mama","Childish Gambino",69,2,2
"4285",2008,"Me Enamora","Juanes",99,14,2
"4286",2017,"Me Enamore","Shakira",100,2,2
"4287",2008,"Me Love","Sean Kingston",90,18,2
"4288",2000,"Me Neither","Brad Paisley",87,4,1
"4289",2018,"Me Niego","Reik Featuring Ozuna & Wisin",97,3,3
"4290",2016,"Me Too","Meghan Trainor",39,20,1
"4291",2016,"Me, Myself & I","G-Eazy x Bebe Rexha",83,37,1
"4292",2004,"Me, Myself And I","Beyonce",78,24,1
"4293",2019,"ME!","Taylor Swift Featuring Brendon Urie",100,8,1
"4294",2011,"Mean","Taylor Swift",90,20,2
"4295",2015,"Mean To Me","Brett Eldredge",95,20,1
"4296",2018,"Meant To Be","Bebe Rexha & Florida Georgia Line",61,51,1
"4297",2004,"Meant To Live","Switchfoot",75,28,1
"4298",2014,"Meanwhile Back At Mama's","Tim McGraw Featuring Faith Hill",100,19,1
"4299",2001,"Meanwhile Back At The Ranch","The Clark Family Experience",87,12,1
"4300",2018,"Medicine","Queen Naija",100,20,2
"4301",2010,"Meet Me Halfway","The Black Eyed Peas",75,24,1
"4302",2000,"Meet Virginia","Train",21,27,1
"4303",2004,"Megalomaniac","Incubus",75,20,1
"4304",2011,"MegaMan","Lil Wayne",52,1,1
"4305",2011,"Memories","David Guetta Featuring Kid Cudi",94,18,1
"4306",2013,"Memories Back Then","Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",88,2,1
"4307",2018,"Mercy","Brett Young",97,20,1
"4308",2012,"Mercy","Dave Matthews Band",95,1,1
"4309",2008,"Mercy","Duffy",87,20,1
"4310",2012,"Mercy","Kanye West, Big Sean, Pusha T, 2 Chainz",38,32,1
"4311",2017,"Mercy","Shawn Mendes",95,32,2
"4312",2013,"Merry Go 'round","Kacey Musgraves",88,15,1
"4313",2003,"Mesmerize","Ja Rule Featuring Ashanti",67,20,1
"4314",2018,"Mess","Lil Wayne",74,1,1
"4315",2016,"Messin' Around","Pitbull Featuring Enrique Iglesias",98,8,3
"4316",2017,"Met Gala","Gucci Mane Featuring Offset",88,2,1
"4317",2018,"Mi Gente","J Balvin & Willy William Featuring Beyonce",70,29,1
"4318",2019,"MIA","Bad Bunny Featuring Drake",5,27,1
"4319",2018,"MIC Drop","BTS Featuring Desiigner",28,9,1
"4320",2016,"Middle","DJ Snake Featuring Bipolar Sunshine",95,21,1
"4321",2019,"Middle Child","J. Cole",26,21,1
"4322",2019,"Middle Child","PnB Rock & XXXTENTACION",91,1,1
"4323",2016,"Middle Of A Memory","Cole Swindell",99,20,1
"4324",2014,"Midnight","Coldplay",84,3,2
"4325",2018,"Midnight","Logic",74,1,1
"4326",2012,"Midnight City","M83.",74,20,1
"4327",2014,"Midnight Memories","One Direction",68,3,2
"4328",2001,"Midwest Swing","St. Lunatics",99,5,1
"4329",2016,"Might Be","DJ Luke Nasty",85,10,1
"4330",2016,"Might Not","Belly Featuring The Weeknd",100,17,1
"4331",2006,"Mighty ""O""","OutKast",77,2,1
"4332",2008,"Migrate","Mariah Carey Featuring T-Pain",92,1,1
"4333",2004,"Milkshake","Kelis",95,22,1
"4334",2018,"Millidelphia","Meek Mill Featuring Swizz Beatz",73,1,1
"4335",2009,"Million Dollar Bill","Whitney Houston",100,1,1
"4336",2017,"Million Reasons","Lady Gaga",97,20,5
"4337",2019,"Millionaire","Chris Stapleton",96,17,3
"4338",2016,"Mind Reader","Dustin Lynch",85,16,1
"4339",2018,"Mine","Bazzi",56,34,1
"4340",2014,"Mine","Beyonce Featuring Drake",99,2,1
"4341",2011,"Mine","Taylor Swift",3,23,1
"4342",2013,"Mine Would Be You","Blake Shelton",100,20,1
"4343",2012,"Mirror","Lil Wayne Featuring Bruno Mars",74,17,3
"4344",2000,"Mirror Mirror","M2M",87,18,1
"4345",2013,"Mirrors","Justin Timberlake",24,42,1
"4346",2011,"Misery","Glee Cast",52,1,1
"4347",2010,"Misery","Maroon 5",44,20,1
"4348",2008,"Misery Business","Paramore",99,30,3
"4349",2001,"Miss California","Dante Thomas Featuring Pras",98,6,1
"4350",2003,"Miss Independent","Kelly Clarkson",61,20,1
"4351",2009,"Miss Independent","Ne-Yo",98,28,1
"4352",2013,"Miss Jackson","Panic! At The Disco Featuring Lolo",68,1,1
"4353",2010,"Miss Me","Drake Featuring Lil Wayne",15,20,1
"4354",2006,"Miss Me Baby","Chris Cagle",95,14,2
"4355",2019,"Miss Me More","Kelsea Ballerini",95,19,1
"4356",2013,"Miss Movin' On","Fifth Harmony",98,11,3
"4357",2006,"Miss Murder","AFI",97,20,2
"4358",2003,"Miss You","Aaliyah",55,30,1
"4359",2001,"Missing You","Case",92,22,1
"4360",2005,"Mississippi Girl","Faith Hill",85,20,1
"4361",2007,"Mistletoe","Colbie Caillat",86,4,1
"4362",2012,"Mistletoe","Justin Bieber",85,10,2
"4363",2019,"Mixed Personalities","YNW Melly Featuring Kanye West",98,18,2
"4364",2005,"MJB Da MVP","Mary J. Blige Featuring The Game & 50 Cent",86,8,1
